"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.6","172.217.167.163","TCP","54","41324  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"2","0.000033361","10.0.2.6","172.217.167.163","TCP","54","41320  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"3","0.000041244","10.0.2.6","172.217.167.163","TCP","54","41326  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"4","0.000587407","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41324 [ACK] Seq=1 Ack=2 Win=31646 Len=0"
"5","0.000587509","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41320 [ACK] Seq=1 Ack=2 Win=31646 Len=0"
"6","0.000587589","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41326 [ACK] Seq=1 Ack=2 Win=31646 Len=0"
"7","0.003777661","10.0.2.6","172.217.167.163","TCP","54","41318  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"8","0.004040082","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41318 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"9","0.451818858","10.0.2.6","13.227.238.90","TLSv1.2","93","Application Data"
"10","0.462857233","13.227.238.90","10.0.2.6","TLSv1.2","93","Application Data"
"11","0.462916468","10.0.2.6","13.227.238.90","TCP","54","44438  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"12","1.681788494","10.0.2.6","142.250.183.206","TLSv1.2","384","Application Data"
"13","1.681822822","10.0.2.6","142.250.183.206","TLSv1.2","568","Application Data"
"14","1.682034773","10.0.2.6","142.250.183.206","TLSv1.2","1455","Application Data"
"15","1.682366646","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=1 Ack=845 Win=32768 Len=0"
"16","1.712321093","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=1 Ack=2246 Win=31367 Len=0"
"17","1.791652878","10.0.2.6","172.217.167.163","TCP","54","41322  >  80 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"18","1.791905954","172.217.167.163","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 80  >  41322 [ACK] Seq=1 Ack=2 Win=31646 Len=0"
"19","1.804219053","142.250.183.206","10.0.2.6","TLSv1.2","841","Application Data, Application Data"
"20","1.804260785","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=2246 Ack=788 Win=62780 Len=0"
"21","1.820825532","142.250.183.206","10.0.2.6","TLSv1.2","141","Application Data, Application Data"
"22","1.820849999","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=2246 Ack=875 Win=62780 Len=0"
"23","1.821144613","10.0.2.6","142.250.183.206","TLSv1.2","93","Application Data"
"24","1.964064915","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=875 Ack=2285 Win=31328 Len=0"
"25","3.331288484","10.0.2.6","13.227.166.3","TCP","54","39370  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"26","3.332182203","13.227.166.3","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 443  >  39370 [ACK] Seq=1 Ack=2 Win=31486 Len=0"
"27","3.841271091","10.0.2.6","13.227.166.120","TCP","54","60554  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"28","3.841711885","13.227.166.120","10.0.2.6","TCP","60","[TCP ACKed unseen segment] 443  >  60554 [ACK] Seq=1 Ack=2 Win=31980 Len=0"
"29","4.130809649","10.0.2.6","142.251.12.189","TLSv1.2","90","Application Data"
"30","4.130843733","10.0.2.6","142.250.67.234","TLSv1.2","90","Application Data"
"31","4.230449287","142.250.67.234","10.0.2.6","TCP","60","443  >  49378 [ACK] Seq=1 Ack=37 Win=32256 Len=0"
"32","4.230449474","142.251.12.189","10.0.2.6","TCP","60","443  >  57000 [ACK] Seq=1 Ack=37 Win=32693 Len=0"
"33","4.434978927","10.0.2.6","142.250.183.206","TLSv1.2","258","Application Data"
"34","4.457359088","10.0.2.6","142.250.183.206","TLSv1.2","522","Application Data"
"35","4.457757682","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=875 Ack=2957 Win=32768 Len=0"
"36","4.473427356","10.0.2.6","142.250.183.206","TLSv1.2","730","Application Data"
"37","4.481476700","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=875 Ack=3633 Win=32092 Len=0"
"38","4.541879053","142.250.183.206","10.0.2.6","TLSv1.2","192","Application Data"
"39","4.587789238","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=3633 Ack=1013 Win=62780 Len=0"
"40","4.588515280","142.250.183.206","10.0.2.6","TLSv1.2","322","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"41","4.588550134","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=3633 Ack=1281 Win=62780 Len=0"
"42","4.589136275","10.0.2.6","142.250.183.206","TLSv1.2","93","Application Data"
"43","4.592064322","10.0.2.6","142.250.183.206","TLSv1.2","1132","Application Data"
"44","4.592262145","10.0.2.6","142.250.183.206","TLSv1.2","239","Application Data"
"45","4.592582149","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=1281 Ack=4750 Win=32768 Len=0"
"46","4.593772820","10.0.2.6","142.250.183.206","TLSv1.2","305","Application Data"
"47","4.593861936","10.0.2.6","142.250.183.206","TLSv1.2","469","Application Data, Application Data"
"48","4.594276674","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=1281 Ack=5186 Win=32332 Len=0"
"49","4.595195676","10.0.2.6","142.250.183.206","TLSv1.2","213","Application Data"
"50","4.595255912","10.0.2.6","142.250.183.206","TLSv1.2","1055","Application Data"
"51","4.595783541","142.250.183.206","10.0.2.6","TCP","60","443  >  52518 [ACK] Seq=1281 Ack=5760 Win=31758 Len=0"
"52","4.709202972","142.250.183.206","10.0.2.6","TLSv1.2","799","Application Data, Application Data"
"53","4.709317841","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6761 Ack=2026 Win=62780 Len=0"
"54","4.710412967","142.250.183.206","10.0.2.6","TLSv1.2","263","Application Data"
"55","4.710424581","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6761 Ack=2235 Win=62780 Len=0"
"56","4.710589623","142.250.183.206","10.0.2.6","TLSv1.2","93","Application Data"
"57","4.710597213","10.0.2.6","142.250.183.206","TCP","54","52518  >  443 [ACK] Seq=6761 Ack=2274 Win=62780 Len=0"
"58","4.710730519","10.0.2.6","142.250.183.206","TLSv1.2","93","Application Data"
"59","4.710987545","142.250.183.206","10.0.2.6","TLSv1.2","660","Application Data, Application Data"
